Location,Country Code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,A,B,C,R_squared
Benin,BEN,Renewable vs Non-Renewable Energy Generation,0.019842860092049497,0.024392898230776405,0.024762805255779074,0.02157164869029276,0.01878248145718755,0.007065278665113307,0.0,0.0,0.0016073743850238886,0.0018944753639593749,0.0,0.0,0.002761795166858458,0.0,0.0025535075908816565,0.011459729933087068,0.02010646594107076,0.016665382897108436,0.016665382897108436,0.004036421805332553,0.004036421805332553,0.00217041608719268,0.04189885369874,0.7945143760129099,-81.32694444430457,0.7186794481237735
Burkina Faso,BFA,CO2 Emissions Per Capita,1.2888125789701965,1.6286274125305598,1.595563784546545,1.5784134774370557,1.498024231685061,1.4690247901255156,1.4285226976939898,1.5035230282778278,1.5084096119763797,1.4423408937060918,1.4297871704418572,0.7966176096817309,0.8484020883346777,0.9143370093275229,0.8400959746925701,1.0052033445419624,1.890344508505046,1.9205407317394587,1.9496384650544214,1.9561112540646581,1.8939901563591728,1.909240054934049,0.012301514049190264,2.2570281342830176,-23.78700079844092,0.2834781633005946
Burkina Faso,BFA,Renewable vs Non-Renewable Energy Generation,0.3364374631955191,0.17253248898855064,0.21186694137976872,0.27502853766685215,0.2728932999811722,0.24166570455463834,0.17246739030506983,0.2222583508712435,0.28116028361753,0.23312534251523806,0.2629066256989228,0.18323660226355165,0.18498030896287562,0.1717655902627833,0.11956878639406922,0.10805445232440405,0.1734288130408968,0.1498899157847924,0.20100560497387163,0.34785410644448217,0.3967350354212497,0.37691911053818883,0.012301514049190264,2.2570281342830176,-23.78700079844092,0.2834781633005946
Bangladesh,BGD,CO2 Emissions Per Capita,0.7135143291804845,0.829316259527078,0.8521805911094591,0.871090741575696,0.9022802063481283,0.9425352953983742,0.9973552750775891,1.0352529902917895,1.129644366460769,1.1873386392833434,1.2969063394546758,1.36400428714261,1.4403586523323995,1.4931775037416541,1.5464262009128302,1.6863160873281375,1.8217308611242107,1.9361992536631336,2.0886464549323764,2.0089250255361675,1.8477455241787508,1.92655974320074,0.07588322241531756,3.7866148503165014,-151.3162587601204,0.9660331768027659
Bangladesh,BGD,Renewable vs Non-Renewable Energy Generation,0.08220156578356347,0.06886746889386514,0.05948148328548712,0.04957485146378376,0.042397870470903584,0.035263712155820276,0.03164475945868704,0.023432066121005093,0.020617312007197797,0.016172043359841105,0.021863782228171296,0.022806876624242384,0.02185207925879915,0.01974826016714901,0.01692711806662849,0.019996228307792675,0.020405199660984745,0.02002513463565515,0.01675725623978914,0.015156520967870941,0.01495766355740691,0.01594776183409488,0.07588322241531756,3.7866148503165014,-151.3162587601204,0.9660331768027659
Bulgaria,BGR,CO2 Emissions Per Capita,14.383957817656714,16.3662916859259,15.720921077926054,17.585788361827095,17.323754080156952,17.76898990791453,18.876723126574287,20.333650214211744,20.25157000296694,17.339313690896685,18.300579788060443,20.991721520187987,19.26448474504399,17.039171035282994,18.147609151961163,19.566561595995314,18.23676797456502,19.29293686413988,17.831971084138058,17.50547527975801,15.08411796945925,17.836855483550337,0.3324839090054715,-28.420374351290402,-646.637384127026,0.28916198020189243
Bulgaria,BGR,Renewable vs Non-Renewable Energy Generation,0.0687070744000209,0.03901505305196493,0.05216576683184183,0.07562176492867062,0.08159379953743406,0.1073826754757096,0.1017391455023442,0.07117016779155111,0.06960127727007033,0.09368413780301796,0.14094016193743256,0.082919615148446,0.12469016103897092,0.18730751652231428,0.1842665615023954,0.21647829834193633,0.1843009329702985,0.15529022794956032,0.2504311050460007,0.20342961991717382,0.22426697755353592,0.2766586222592475,0.3324839090054715,-28.420374351290402,-646.637384127026,0.28916198020189243
Bahrain,BHR,CO2 Emissions Per Capita,74.31310651746733,74.91196809068586,76.69179999305112,76.5594748386135,71.63406219201848,77.3184174900019,78.06129450833745,74.32939778017399,74.74420539238778,70.1832118465085,71.09961122733584,71.3366838550686,73.6845492910259,75.8884170161365,76.02885692309101,73.76568002087889,71.00537759787638,69.28634096540856,68.5574240173733,73.60906566576628,73.81974826341533,76.75706506135252,-0.20128754552959482,2713.6682305901054,478.10820814875694,0.12108761024914683
Bahrain,BHR,Renewable vs Non-Renewable Energy Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2587755817520485e-05,5.320328086898692e-05,5.1192355274945605e-05,5.0579557428872495e-05,8.189097379488838e-05,7.828507364595816e-05,0.0003473881557181193,0.0003321383382539013,0.0003319400049176297,0.00032381866154953225,0.0003202629884434202,0.00033490819927037854,0.000335701225908941,0.0003848164075957166,-0.20128754552959482,2713.6682305901054,478.10820814875694,0.12108761024914683
"Bahamas, The",BHS,CO2 Emissions Per Capita,9.382548161002294,9.394980162365831,9.948000766462474,7.340790392626074,7.902072520541319,7.642613385699994,9.430548354807977,11.340125625583648,11.61078282501137,9.55217845062042,10.77053654439658,7.118902238391321,8.676833754295782,9.662297541812524,9.598098969241722,8.960617188315673,9.76735125866214,10.48336229261691,12.665930630545454,13.956416855968381,11.793707762669419,11.352048354277706,0.12886226539994655,95.20259484482948,-249.2568754105898,0.30426294334321946
